a_p,race,gender,activity_level= 0_Mean,activity_level= 1_Mean,activity_level= 2_Mean,activity_level= 3_Mean,alc_freq= 0_Mean,alc_freq= 1_Mean,alc_freq= 2_Mean,alc_freq= 3_Mean,alc_freq= 4_Mean,alc_freq= 5_Mean,avg_drinks_pday_pstyr=1_Mean,avg_drinks_pday_pstyr=2_Mean,avg_drinks_pday_pstyr=3_Mean,avg_drinks_pday_pstyr=4_Mean,avg_drinks_pday_pstyr=NA_Mean,cholesterol_mg= 0_Mean,cholesterol_mg= 1_Mean,cholesterol_mg= 2_Mean,cholesterol_mg= 3_Mean,cholesterol_mg= 4_Mean,current_smkr=0_Mean,current_smkr=1_Mean,current_smkr=2_Mean,current_smkr=3_Mean,current_smkr=NA_Mean,diabetes= 0_Mean,diabetes= 1_Mean,diabetes= 2_Mean,drinks_perwk_pstyr=1_Mean,drinks_perwk_pstyr=2_Mean,drinks_perwk_pstyr=3_Mean,drinks_perwk_pstyr=4_Mean,drinks_perwk_pstyr=NA_Mean,ever_5_or_more_drinks_a_day=0_Me,ever_5_or_more_drinks_a_day=1_Me,ever_5_or_more_drinks_a_day=2_Me,ever_5_or_more_drinks_a_day=3_Me,ever_5_or_more_drinks_a_day=NA_M,thyroid_d= 0_Mean,thyroid_d= 1_Mean,thyroid_d= 2_Mean,fiber_g=0_Mean,fiber_g=1_Mean,fiber_g=2_Mean,fiber_g=NA_Mean,fruits_veggies_pmo= 0_,fruits_veggies_pmo= 1_,fruits_veggies_pmo= 2_,fruits_veggies_pmo= 3_,fruits_veggies_pmo= 4_,hepA_vacc=0_Mean,hepA_vacc=1_Mean,hepA_vacc=2_Mean,hepA_vacc=3_Mean,hepA_vacc=NA_Mean,hepB_vacc=0_Mean,hepB_vacc=1_Mean,hepB_vacc=2_Mean,hepB_vacc=3_Mean,hepB_vacc=NA_Mean,home_smokers=0_Mean,home_smokers=1_Mean,home_smokers=2_Mean,home_smokers=3_Mean,home_smokers=NA_Mean,meat_freq_pmo= 0_Mean,meat_freq_pmo= 1_Mean,meat_freq_pmo= 2_Mean,meat_freq_pmo= 3_Mean,meat_freq_pmo= 4_Mean,meat_freq_pmo= 5_Mean,protein= 0_Mean,protein= 1_Mean,protein= 2_Mean,protein= 3_Mean,protein= 4_Mean,sat_fatty_acid=0_Mean,sat_fatty_acid=1_Mean,sat_fatty_acid=2_Mean,sat_fatty_acid=3_Mean,sat_fatty_acid=4_Mean,sat_fatty_acid=NA_Mean,still_thyroid_d=0_Mean,still_thyroid_d=1_Mean,still_thyroid_d=2_Mean,still_thyroid_d=3_Mean,still_thyroid_d=NA_Mean,period,rate,age_grp,count,pop
3,0,0,5.3073000000000002E-2,.383226,.561995,1.7060000000000001E-3,7.8117000000000006E-2,7.7358999999999997E-2,.414248,.256964,.173312,0,0,0,0,0,1,0,.21585,.230657,.301084,.252409,0,0,0,0,1,0.994302,0.005698,0,0,0,0,0,1,0,0,0,0,1,0.990187,0.00656,0.003253,0,0,0,1,6.8099999999999996E-4,4.7930000000000004E-3,.1245,.861235,8.7910000000000002E-3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4.5570000000000003E-3,4.1099999999999999E-3,0,.119561,.862981,8.7910000000000002E-3,0,5.8187999999999997E-2,.106851,.232142,.602819,0.00545,0.065212,0.119849,0.220259,0.567743,0.021486,0,0,0,0,1,0,1.585221,0,61,3848044
3,1,0,.132412,.265067,.60252,0,9.6727999999999995E-2,4.3131000000000003E-2,.453764,.31152,9.4856999999999997E-2,0,0,0,0,0,1,0,.313472,.25508,.198231,.233216,0,0,0,0,1,0.981989,0.018011,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,7.646E-3,0,.28406,.708294,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,6.3561999999999994E-2,.936438,0,0,7.6180999999999999E-2,.230276,.224601,.468943,0,0.155338,0.179826,0.293061,0.371775,0,0,0,0,0,1,0,1.158942,0,5,431428
3,2,0,.335755,.207031,.457214,0,2.5825000000000001E-2,0,.743614,.230561,0,0,0,0,0,0,1,0,5.5753999999999998E-2,.504547,8.6371000000000003E-2,.353328,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,5.5753999999999998E-2,.198108,.746137,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,.415083,.584917,0,0,7.9471E-2,0,.434941,.485588,0,0,0.265249,0.384466,0.350285,0,0,0,0,0,1,,,,,
3,0,1,7.8791E-2,.51981,.401399,0,.200253,.15357,.513923,.107615,2.3913E-2,7.2599999999999997E-4,0,0,0,0,1,0,.283932,.270134,.220033,.2259,0,0,0,0,1,0.992914,0.007086,0,0,0,0,0,1,0,0,0,0,1,0.942093,0.040788,0.01712,0,0,0,1,0,5.666E-3,9.1704999999999995E-2,.896031,6.5979999999999997E-3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5.3300000000000005E-4,5.3429999999999997E-3,0,.180732,.807799,5.5929999999999999E-3,0,.308153,.271171,.245662,.175014,0,0.284572,0.281792,0.257874,0.17161,0.004152,0,0,0,0,1,0,1.586435,0,60,3782064
3,1,1,.128199,.397695,.474106,0,.292253,.151558,.405913,9.2150999999999997E-2,5.8125999999999997E-2,0,0,0,0,0,1,0,.245722,.314855,.217153,.22227,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0.989323,0.005337,0.00534,0,0,0,1,3.5699999999999998E-3,3.9899999999999996E-3,.208155,.768643,1.5642E-2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3.8170000000000001E-3,2.5736999999999999E-2,0,.16186,.792943,1.5642E-2,0,.328568,.237446,.290587,.143399,0,0.270026,0.322258,0.245928,0.157797,0.00399,0,0,0,0,1,0,2.82454,0,14,495656
3,2,1,0,.532476,.467524,0,.259455,.247101,.423565,6.9878999999999997E-2,0,0,0,0,0,0,1,0,.257987,.260089,.313992,.167931,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0.954642,0.045358,0,0,0,0,1,0,0,0,.980077,1.9923E-2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,.255109,.724968,1.9923E-2,0,.325248,.327686,.30187,4.5196E-2,0,0.238898,0.494304,0.166883,0.099914,0,0,0,0,0,1,,,,,
4,0,0,5.3856000000000001E-2,.63269,.313455,0,.207491,.139346,.539502,.11366,0,0,0,0,0,0,1,.,.,.,.,.,0.205966,0.426804,0.36723,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1.1610000000000001E-2,.132449,.855942,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5.058E-3,2.7341000000000001E-2,0,.347144,.620456,0,0,7.8714999999999993E-2,9.9552000000000002E-2,.262284,.55945,0.005058,0.053734,0.112134,0.214759,0.614315,0,0,0,0,0,1,1,1.135992,0,48,4225381
4,1,0,.264759,.519815,.215426,0,.122197,.129671,.307809,.440323,0,0,0,0,0,0,1,.,.,.,.,.,0.140041,0.529032,0.330927,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,5.5363999999999997E-2,.259979,.684657,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,.451919,.548081,0,0,0,.19123,.116257,.692513,0,0,0.106553,0.391124,0.502323,0,0,0,0,0,1,1,1.733837,0,9,519080
4,2,0,.916386,0,8.3613999999999994E-2,0,.916386,0,8.3613999999999994E-2,0,0,0,0,0,0,0,1,.,.,.,.,.,0,0.083614,0.916386,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,8.3613999999999994E-2,.916386,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,8.3613999999999994E-2,.916386,0,0,8.3613999999999994E-2,0,0,.916386,0,0.083614,0,0,0.916386,0,0,0,0,0,1,,,,,
4,0,1,.124661,.768462,.106877,0,.478362,.266875,.247149,7.6140000000000001E-3,0,0,0,0,0,0,1,.,.,.,.,.,0.097565,0.456642,0.445793,0,0,0.989921,0.010079,0,0,0,0,0,1,0,0,0,0,1,0.982562,0,0.017438,0,0,0,1,0,0,8.4448999999999996E-2,.915551,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3.8948999999999998E-2,2.2613000000000001E-2,0,.372211,.560382,5.8450000000000004E-3,0,.300734,.280379,.195063,.223824,0,0.263682,0.310196,0.264262,0.161861,0,0,0,0,0,1,1,0.801881,0,33,4115324
